"","Date","Species","notes","Site","Total_time","nFurSeals"
"1","12/20/2004","","","GEOR","03:00:00",NA
"2","12/20/2004","WS","# WS=5","JOUG","03:00:00",NA
"3","12/21/2004","","","ALMI","03:15:00",NA
"4","12/22/2004","","","NEKO","03:00:00",NA
"5","12/22/2004","WS","# WS = 5","ENTE","01:30:00",NA
"6","12/23/2004","","","WHAL","02:30:00",NA
"7","12/23/2004","ES","# ES = 181","HANN","03:00:00",NA
"8","12/24/2004","WS","# WS = 1","BROW","02:30:00",NA
"9","12/24/2004","WS","# WS = 4","PAUL","02:30:00",NA
"10","12/25/2004","WS","# WS = 8","GOUR","01:30:00",NA
"11","12/31/2004","","","BROW","02:00:00",NA
"12","12/31/2004","","","DEVI","02:00:00",NA
"13","01-Jan-05","","","SNOW","01:45:00",NA
"14","02-Jan-05","","","WHAL","02:00:00",NA
"15","02-Jan-05","WSES","ES:  578 ON BOTH SIDES OF HANNAH PT (310 WERE ON S BEACHES)","HANN","02:55:00",NA
"16","03-Jan-05","","","BRYS","01:50:00",NA
"17","03-Jan-05","ES","ES: 1 JUV","WATE","01:00:00",NA
"18","03-Jan-05","","","USEF","01:45:00",NA
"19","04-Jan-05","FS","","DAMO","02:45:00",NA
"20","04-Jan-05","FSES","#FS = 1#ES = 5","PLEN","01:45:00",1
"21","10-Jan-05","ES","#ES = 3","AITC","03:25:00",NA
"22","11-Jan-05","","","BROW","04:00:00",NA
"23","11-Jan-05","","","DEVI","03:00:00",NA
"24","12-Jan-05","WS","# WS = 2 (in water)","MADD","02:30:00",NA
"25","1/13/2005","","","BAIL","04:35:00",NA
"26","1/13/2005","","","WHAL","02:30:00",NA
"27","1/14/2005","","","NEKO","02:15:00",NA
"28","1/14/2005","","","GEOR","01:15:00",NA
"29","1/14/2005","","","CUVE","00:30:00",NA
"30","1/14/2005","","","ALMI","00:15:00",NA
"31","1/15/2005","","","DOBE","00:30:00",NA
"32","1/16/2005","WS","","JOUG","01:15:00",NA
"33","1/21/2005","FSES","# FS = 1 (presence code = 1)# ES = 41 (presence code = 3)","AITC","04:00:00",1
"34","1/22/2005","WS","# WS = 3","PAUL","03:15:00",NA
"35","1/22/2005","WS","# WS = 1","BROW","03:02:00",NA
"36","1/23/2005","","","DEVI","03:30:00",NA
"37","11/18/2005","WSES","# WS = 2# ES = 2","AITC","03:30:00",NA
"38","11/19/2005","WSCS","","DEVI","02:45:00",NA
"39","11/20/2005","WSLS","","BROW","02:30:00",NA
"40","11/20/2005","","All seal presence codes = 5","PAUL","03:00:00",0
"41","11/21/2005","WSLS","","BAIL","03:30:00",NA
"42","02-Jan-10","","","VORT","",NA
"43","11/22/2005","CS","CS on ice flow.","CUVE","01:00:00",NA
"44","11/22/2005","","","ORNE","01:20:00",NA
"45","11/22/2005","WS","#WS = 2","NEKO","03:30:00",NA
"46","11/24/2005","","","MOOT","01:30:00",NA
"47","11/29/2005","WSES","","AITC","04:00:00",NA
"48","01-Dec-05","WS","","BAIL","02:30:00",NA
"49","02-Dec-05","WS","","ALMI","01:30:00",NA
"50","02-Dec-05","","","CUVE","03:00:00",NA
"51","03-Dec-05","WS","","NEKO","02:00:00",NA
"52","12/20/2005","LS","","SAND","02:15:00",NA
"53","12/21/2005","","","BELS","01:15:00",NA
"54","12/22/2005","WS","","BROW","01:00:00",NA
"55","12/23/2005","","","BAIL","03:00:00",NA
"56","12/23/2005","WSCSES","","ENTR","01:00:00",NA
"57","12/22/2005","","","SAXU","00:15:00",NA
"58","11/21/2005","WSCSES","# WS = 18	# CS = 1	# ES = 271	(presence code 3)","PRES","02:00:00",NA
"59","12/23/2005","","","WHAL","00:10:00",NA
"60","12/26/2005","","","JOUG","01:15:00",NA
"61","12/26/2005","","","DAMO","01:45:00",NA
"62","12/26/2005","WSES","WS presence code = 4","DOBE","00:15:00",NA
"63","12/26/2005","","","GEOR","01:45:00",NA
"64","12/26/2005","","","CUVE","00:15:00",NA
"65","12/31/2005","ES","ES one juvenile on beach","AITC","03:30:00",NA
"66","01-Jan-06","WSCSLS","","BROW","04:00:00",NA
"67","02-Jan-06","","","PAUL","03:00:00",NA
"68","03-Jan-06","","","BAIL","02:30:00",NA
"69","04-Jan-06","CS","","PCHA","02:30:00",NA
"70","05-Jan-06","","","NEKO","03:00:00",NA
"71","06-Jan-06","","","JOUG","04:00:00",NA
"72","11-Jan-06","FSWSLSES","FS	2 BIG MALES, 1 JUV.WS	ADLS	ADES	50 AT WALLOW BY STACK","AITC","02:40:00",2
"73","11-Jan-06","WS","WS presence code = 3","CECI","02:40:00",NA
"74","12-Jan-06","WS","","DEVI","03:00:00",NA
"75","12-Jan-06","WS","","FALS","04:00:00",NA
"76","1/13/2006","WS","","PAUL","03:00:00",NA
"77","1/13/2006","WS","","BROW","02:00:00",NA
"78","1/14/2006","","","BAIL","02:30:00",NA
"79","1/16/2006","CS","CS: AROUND 500 INDV. IN H20 AND ON ICE AROUND LANDING","PCHA","03:00:00",NA
"80","1/16/2006","CS","","ALMI","02:00:00",NA
"81","1/17/2006","","","DAMO","02:00:00",NA
"82","1/22/2006","FSES","","AITC","02:45:00",NA
"83","1/23/2006","CS","CS: IN H20 NEAR SHORE","CRYS","02:45:00",NA
"84","1/23/2006","","","SNOW","02:00:00",NA
"85","1/24/2006","FSWS","","PAUL","03:00:00",NA
"86","1/24/2006","","","DURV","00:45:00",NA
"87","1/25/2006","FS","","BAIL","00:30:00",NA
"88","1/25/2006","FSWS","","ENTR","00:30:00",NA
"89","1/26/2006","CS","CS: ON ICE & IN H20","PCHA","02:00:00",NA
"90","1/26/2006","ES","ES: 1 JUV","PLEN","01:00:00",NA
"91","1/27/2006","","","JOUG","03:00:00",NA
"92","1/28/2006","","","NEKO","02:00:00",NA
"93","03-Feb-06","FSWS","","HERO","02:30:00",NA
"94","03-Feb-06","FSWS","","PAUL","02:30:00",NA
"95","04-Feb-06","FS","","WHAL","02:00:00",NA
"96","05-Feb-06","FS","","ORNE","01:30:00",NA
"97","05-Feb-06","FS","","GEOR","01:15:00",NA
"98","05-Feb-06","","","CUVE","00:30:00",NA
"99","05-Feb-06","","","DAMO","02:00:00",NA
"100","05-Feb-06","","","DOBE","00:15:00",NA
"101","06-Feb-06","","","ALMI","02:00:00",NA
"102","03-Jan-10","WS","","GEOR","03:30:00",NA
"103","12/16/1995","","","PETE","02:30:00",NA
"104","1/17/2009","","","ALMI","",NA
"105","01/20/2017","","","BRYE","00:37:00",NA
"106","07-Dec-94","","","PETE","",NA
"107","07-Dec-94","","","WATE","",NA
"108","01/20/2017","","","ALMI","00:09:00",NA
"109","08-Dec-94","WS","#WS (Alice creek) =2","JOUG","",NA
"110","09-Dec-94","","","BAIL","",NA
"111","09-Dec-94","","","HANN","",NA
"112","01/20/2017","CS","4 CS","DANC","02:11:00",NA
"113","10-Dec-94","","","ALMI","",NA
"114","01/21/2017","","","HALF","02:06:00",NA
"115","12-Dec-94","","","JOUG","",NA
"116","12-Dec-94","","","PETE","",NA
"117","01/22/2017","FSLSES","","GOUR","03:02:00",NA
"118","01/26/2017","","","NISE","03:56:00",NA
"119","12/14/1994","","","BAIL","",NA
"120","01/26/2017","","","CARC","02:07:00",NA
"121","12/15/1994","","","ALMI","",NA
"122","12/15/1994","","","DAMO","",NA
"123","12/15/1994","","","JOUG","",NA
"124","12/15/1994","","","PETE","",NA
"125","12/16/1994","","","ORNE","",NA
"126","12-Jan-95","","","PENG","",NA
"127","1/13/1995","","","ORNE","",NA
"128","1/14/1995","","","BAIL","",NA
"129","1/22/1995","","","PAUL","",NA
"130","1/23/1995","","","HANN","",NA
"131","1/23/1995","","","WHAL","",NA
"132","1/24/1995","","","ORNE","",NA
"133","1/25/1995","","","FISH","",NA
"134","1/26/1995","","","DAMO","",NA
"135","1/26/1995","","","JOUG","",NA
"136","1/26/1995","","","PETE","",NA
"137","11/18/1995","","","HYDR","03:00:00",NA
"138","11/18/1995","WS","#WS (beach) = 1","WHAL","",NA
"139","11/19/1995","","","ALMI","",NA
"140","11/19/1995","","","ALMI","",NA
"141","11/20/1995","","","JOUG","",NA
"142","11/20/1995","","","PETE","02:30:00",NA
"143","11/21/1995","ES","#ES (at landing)=8#ES (beach #2)=16","BRIT","",NA
"144","11/27/1995","","","CUVE","01:15:00",NA
"145","11/27/1995","WS","#WS (Alice creek)=1","JOUG","01:45:00",NA
"146","11/27/1995","","","ORNE","02:30:00",NA
"147","11/28/1995","","","ALMI","01:40:00",NA
"148","11/28/1995","ESWS","#ES = 8#WS = 6","PENG","02:00:00",NA
"149","11/28/1995","","","PETE","02:50:00",NA
"150","11/29/1995","WS","#WS = 2(Whale bone beach)","AITC","03:30:00",NA
"151","11/29/1995","","","ROBE","",NA
"152","11/30/1995","ES","#ES = 4","BAIL","",NA
"153","11/30/1995","","","HANN","",NA
"154","11/30/1995","","","PAUL","",NA
"155","01-Dec-95","WSES","#WS = 2 (on beach closest to Landing)#ES ~ 30 (on beach on opposite side of island from landing (West side))","AITC","",NA
"156","01-Dec-95","","","HYDR","03:00:00",NA
"157","02-Dec-95","","","ALMI","05:00:00",NA
"158","02-Dec-95","","","GEOR","",NA
"159","03-Dec-95","","","PETE","04:00:00",NA
"160","09-Dec-95","","","PAUL","",NA
"161","10-Dec-95","","","HOPE","",NA
"162","11-Dec-95","","","AITC","",NA
"163","11-Dec-95","ESWS","#ES (East beach) = 15#WS = 11 ES pup and 1 WS on landing site","PENG","01:45:00",NA
"164","11-Dec-95","FSWSES","#WS (landing) = 1#ES = 45#FS = 1","ROBE","03:00:00",1
"165","11-Dec-95","ES","#ES (on landing beach) = 55 (8 pups)#ES (with chinstrap) = 44#ES (NW of chinstraps)=  15Seal wallows inland.","TURR","03:00:00",NA
"166","12-Dec-95","","","BAIL","02:30:00",NA
"167","12-Dec-95","ES","#ES (""suicide wallow"" above CHPE colony 2) = 7#ES (south beach) = 4#ES (Shag Point) = 3#ES (Big wallow down the beach) = 39","HANN","03:15:00",NA
"168","12/13/1995","","","ALMI","02:00:00",NA
"169","12/13/1995","","","DAMO","",NA
"170","12/13/1995","","","GEOR","",NA
"171","12/14/1995","","","PETE","03:30:00",NA
"172","12/16/1995","","","ALMI","",NA
"173","12-Jan-96","","","PENG","01:45:00",NA
"174","1/13/1996","","","BAIL","",NA
"175","1/14/1996","WS","#WS = 2","DAMO","",NA
"176","1/14/1996","","","JOUG","01:00:00",NA
"177","1/15/1996","WS","#WS (east beach) = 7","ASTR","03:15:00",NA
"178","1/15/1996","","","HOPE","",NA
"179","1/16/1996","","","PAUL","01:50:00",NA
"180","1/19/1996","","","CUVE","02:00:00",NA
"181","1/20/1996","","","DEVI","04:15:00",NA
"182","1/21/1996","","","LAGO","02:00:00",NA
"183","1/21/1996","WSCS","#WS = 1#CS = 1","BONG","",NA
"184","1/22/1996","WS","#WS = 2","BROW","05:25:00",NA
"185","1/23/1996","","","PETE","01:24:00",NA
"186","1/23/1996","ES","#ES (Eastern side) =5","PLEN","02:20:00",NA
"187","1/23/1996","CS","#CS (landing site) = 4","YALO","",NA
"188","1/24/1996","","","DAMO","01:45:00",NA
"189","1/24/1996","","No seals.","JOUG","",NA
"190","1/25/1996","","","MARA","01:20:00",NA
"191","1/25/1996","WSCS","#WS = 1#CS = 1","NEKO","",NA
"192","1/25/1996","","","ORNE","01:00:00",NA
"193","1/25/1996","FS","","GEOR","00:30:00",NA
"194","1/26/1996","CS","#CS = 2","POPT","02:00:00",NA
"195","1/26/1996","","","SPRI","",NA
"196","1/27/1996","ESFS","#ES = 1#FS = 43","BAIL","05:45:00",43
"197","1/27/1996","","","HANN","",NA
"198","1/30/1996","","","JONA","04:25:00",NA
"199","1/31/1996","","","PAUL","04:40:00",NA
"200","02-Feb-96","FSES","#ES (On whalebone beach) = 9#FS (near CHPE colony 2) = 2","AITC","01:35:00",2
"201","02-Feb-96","","","WHAL","",NA
"202","03-Feb-96","","","NEKO","01:30:00",NA
"203","03-Feb-96","","","WATE","",NA
"204","04-Feb-96","","","PETE","",NA
"205","09-Feb-96","FSES","#FS (Whalebone beach) = 2#ES (Whalebone beach) = 10","AITC","02:12:00",2
"206","09-Feb-96","ESFS","#ES = 17#FS = 3","ROBE","00:42:00",3
"207","10-Feb-96","","","BROW","02:10:00",NA
"208","10-Feb-96","WS","#WS (landing site) = 1","DURV","02:30:00",NA
