name,Full_Name,Latitude,Longitude,Region,Description,Icon
ACTI,Active Reef (Active Sound),-63.400000,-55.866000,,,166
ACU2,East of Acuna Island,-60.768248,-44.622160,,,166
ACUN,Acuna Island,-60.761246,-44.636989,South Orkney Islands,,166
ADAM,Adams Island,-66.545900,92.548550,NA,,166
ADAR,Cape Adare,-71.306301,170.199941,Victoria Land,,166
AILS,Ailsa Craig,-60.780069,-44.634926,South Orkney Islands,,166
AITC,Barrientos Island,-62.407100,-59.751700,South Shetland Islands,"Previously known as Aitcho Island, but renamed to describe Barrientos Island specifically",166
AITK,Aitken Cove,-60.738000,-44.525000,South Orkney Islands,,166
AKAR,Akarui Point,-68.499906,41.390120,Queen Maud Land,,166
ALAS,Alasheyev Bight,-67.653961,46.109028,Enderby Land,,166
ALCO,Alcock Island,-64.240000,-61.127000,Central-west Antarctic Peninsula,,166
ALEX,Cape Alexandra,-54.000000,-38.000000,South Georgia,,166
ALMI,Brown Station,-64.895556,-62.870278,Central-west Antarctic Peninsula,,166
AMAN,Amanda Bay,-69.270000,76.830000,Prince Elizabeth Land,,166
AMBU,Ambush Bay,-63.184000,-55.393000,Northeast Antarctic Peninsula,,166
AMPH,Amphibolite Point,-60.683983,-45.338994,South Orkney Islands,,166
AMUN,Amundsen Bay,-66.780000,50.550000,Enderby Land,,166
ANCB,Anchorage Bay (Fortuna Bay),-54.129997,-36.826965,South Georgia,,166
ANCH,Anchorage Island,-67.604167,-68.208889,Southwest Antarctic Peninsula,,166
ANDE,Cape Anderson,-60.757000,-44.600000,South Orkney Islands,,166
ANDI,Andresen Island Site 2,-66.875000,-66.711000,Southwest Antarctic Peninsula,,166
ANDR,Andresen Island Site 1,-66.879000,-66.649000,Southwest Antarctic Peninsula,,166
ANDS,Andersen Island,-67.435280,63.357210,Mac. Robertson Land,,166
ANN1,Annenkov Island 1,-54.504291,-37.051544,South Georgia,,166
ANNE,Cape Anne,-73.617000,169.850000,Victoria Land,,166
ANVS,Anvers Island South West (7 km south of Gerlache Island),-64.660000,-64.250000,Central-west Antarctic Peninsula,,166
ARDL,Ardley Island,-62.213000,-58.933000,South Shetland Islands,,166
ARMS,Armstrong Reef,-65.891944,-66.211667,Southwest Antarctic Peninsula,"Many islands on Armstrong Reef, as well as rocky peninsulas of Lively Point of the main (Renaud) island.",166
ARTH,Arthurson Ridge,-69.363437,158.510855,Victoria Land,,166
ASPL,Aspland Island,-61.466874,-55.904149,Elephant Island,,166
ASTD,Astrid,-69.950000,8.310000,Queen Maud Land,,166
ASTR,Astrolabe Island,-63.316000,-58.683000,Northwest Antarctic Peninsula,,166
ASTU,Cape Astrup,-64.710833,-63.182778,,,166
ATER,Auster,-67.390000,63.980000,,,166
ATKA,Atka,-70.610000,-8.130000,Queen Maud Land,,166
AUST,Auster Islands,-67.390000,63.980000,Mac. Robertson Land,,166
AVIA,Avian Island,-67.773200,-68.885500,Southwest Antarctic Peninsula,,166
AVIS,Aviation Island,-69.274600,158.780000,Victoria Land,,166
BACH,Bach Quartet,-61.921000,-58.028000,South Shetland Islands,"Exact location unknown, needs confirmation.",166
BACK,Backer Islands,-74.411200,-102.551500,Marie Byrd Land,,166
BAIL,Baily Head (Deception Island),-62.965000,-60.506000,South Shetland Islands,,166
BALA,Balaena Islands,-66.015800,111.068800,Wilkes Land,,166
BALD,Bald Head,-63.630159,-57.604847,,,166
BALL,Balleny Islands,-66.917000,163.750000,Ross Dependency,,166
BARC,Barcroft Islands,-66.457500,-67.139700,Southwest Antarctic Peninsula,Set of several islands. FMP database mentions 11 census locations,166
BARN,Barnard Pt (Livingston Is),-62.767000,-60.350000,South Shetland Islands,,166
BARR,Barrier Island,-68.416300,78.324000,NA,,166
BART,Barton Peninsula,-62.224000,-58.791000,South Shetland Islands,,166
BATT,Cape Batterbee,-65.842000,53.812900,Enderby Land,,166
BAYO,Bay of Isles,-54.033333,-37.333333,South Georgia,,166
BEAG,Beagle Island,-63.413900,-54.667500,Northeast Antarctic Peninsula,,166
BEAN,Beaufort Island North,-76.928800,166.881000,Victoria Land,,166
BEAR,Bear Peninsula,-74.392200,-110.191700,Marie Byrd Land,,166
BEAU,Beaufort Island,-76.969402,166.897841,Victoria Land,,166
BEAV,Beaver Rocks,-63.679000,-59.362000,Northwest Antarctic Peninsula,,166
BELG,Bellingshausen Island,-59.406000,-27.079000,South Sandwich Islands,,166
BELI,Bell Island,-64.2782,-61.9976,,,166
BELL,Bell Point,-62.110440,-58.864746,South Shetland Islands,,166
BELS,Cape Belsham,-61.096000,-54.883000,Elephant Island,,166
BENE,Beneden Head,-64.767100,-62.701000,Central-west Antarctic Peninsula,,166
BENN,Cape Bennett,-60.62,-45.236,South Orkney Islands,,166
BENT,Benton,-69.041700,39.250000,Queen Maud Land,,166
BERK,Berkley/Cameron,-66.216300,110.640000,Wilkes Land,There are two islands referenced here. The lat/long provided is centered on one of those two islands.,166
